Name,x,y,Admin1,Admin2,Admin3
Gumsuri Primary Health Care Center,12.80855,11.05984,Borno,Damboa,Gumsuri
Uba Primary Health Center,13.213818,10.458997,Borno,Askira/Uba,Uba
Ngulde Comprehensive Health Center,12.545808,10.632343,Borno,Askira/Uba,Ngulde
Shikarkir Primary Health Center,12.7768,10.80278,Borno,Chibok,Shikarkir
Mifa Health Post,12.90377,10.88869,Borno,Chibok,Kuburmbula
Gajigana Model Primary Health Care Center,13.10427,12.249895,Borno,Magumeri,Gajigana
Nguwom Primary Health Center,13.34538,11.88444,Borno,Mafa,Loskori
Kurbagayi Primary Health Center,11.77700457,10.47337408,Borno,Kwaya Kusar,Kurbagayi
Abidemi Primary Health Center,4.1953125,7.274902344,Osun,Isokan,Oranran
Igbara Odo Primary Health Clinic,5.065215,7.50217,Ekiti,Ekiti South West,Odo Igbara
Water Board Aah Clinic,13.61403,12.68298,Borno,Monguno,Monguno
Nrc Idps Camp Aah Clinic,13.62142,12.67774,Borno,Monguno,Monguno
Iho Basic Health Center,7.10398666,5.5818558,Imo,Ikeduru,Iho
Rann Primary Health Center,14.4659828,12.2681856,Borno,Kala/Balge,Rann
Gamboru Primary Health Care Center,14.21058,12.37014,Borno,Ngala,Gamboru C
Baga Road Primary Health Clinic,13.12194,11.87028,Borno,Maiduguri,Bolori 2
Limankara Health Clinic,13.81496,11.10464,Borno,Gwoza,Hambagda Limankara Jaje
Pulka Primary Health Center,13.66336,10.98756,Borno,Gwoza,Pulka Bokko
Ngoshe Primary Health Clinic,13.79227709,11.13273873,Borno,Gwoza,Ngoshe
Shehu Palace Health Clinic,13.1609,11.8484,Borno,Maiduguri,Shehuri North
Naf Emergency Hospital,13.688382,11.529405,Borno,Bama,Kasugula
Zajeri Primary Health Center,13.12722,11.8725,Borno,Maiduguri,Bolori 2
Tampul Primary Health Clinic,13.223046,10.577545,Borno,Askira/Uba,Hussara Tampul
Kautikari Primary Health Center,12.984085,10.81868,Borno,Chibok,Kautikari
Uba B Primary Health Care Center,13.21774667,10.45140167,Borno,Hong,Uba
Maiduguri Federal Neuro Psychiatric Hospital,13.13659386,11.85720332,Borno,Maiduguri,Bolori 1
Bama Maternity and  Child Health Clinic,13.67199,11.5049,Borno,Bama,Shehuri
Abocho Cottage Hospital,6.999084473,7.573120117,Kogi,Dekina,Abocho
Boarding Primary School Idp Camp Clinic,13.396635,11.665381,Borno,Konduga,Konduga
Damboa Primary Health Center,12.7577,11.1613,Borno,Damboa,Damboa
Adetoyin Venture Hospital,5.21005,7.630501667,Ekiti,Ado Ekiti,Okesa
Afaha Ikot Inyang Health Center,7.718501667,4.967056667,Akwa Ibom,Ukanafun,Ukanafun 6
Muna Koreri Alima Clinic,13.24527,11.866345,Borno,Jere,Dusuman
Oro Basic Health Center,4.85358,6.89998,Ondo,Odigbo,Ajue
Monguno Support Programme Icrc Family Clinic,13.61814,12.66683,Borno,Monguno,Monguno
Bisi Odo Ayedun Maternity Clinic,5.58752,7.81667,Ekiti,Ikole,Odo-Ayedun
Gamboru Primary Health Center,13.16676666,11.84557,Borno,Maiduguri,Limanti
Konduga Primary Health Care Center,13.41589355,11.65588379,Borno,Konduga,Konduga
Gwange Primary Health Center,13.1675,11.8275,Borno,Maiduguri,Gwange 3
Bama General Hospital,13.688927,11.530622,Borno,Bama,Kasugula
Kareram A Health Clinic,12.80756,12.15589,Borno,Magumeri,Kareram Lawanti
Hirpaya Primary Health Center,12.78967833,10.86755833,Borno,Chibok,Whuntaku Chibok
Hirku Health Clinic,12.18688965,10.62390137,Borno,Biu,Dugja
Jere Police Health Clinic,13.12616885,11.82455295,Borno,Jere,Dusuman
Askira Primary Health Care Center,12.910804,10.649427,Borno,Askira/Uba,Askira East
Kuburmbula Primary Health Center,12.92061,10.88073,Borno,Chibok,Kuburmbula
Gajibo Primary Health Care Center,13.9886,12.11247,Borno,Dikwa,Gajibo
Biu Town Health Post,12.195945,10.611303,Borno,Biu,Silumthla
Pompomari Primary Health Care Center,13.06591797,11.83648682,Borno,Konduga,Auno
Duzuwa Health Post,11.765759,10.886138,Borno,Biu,Gunda
Panana Health Post,11.769207,10.918119,Borno,Biu,Gunda
