Name,x,y,Admin1,Admin2,Admin3
Bende Community Dispensary,7.6364,5.56,Abia,,
Gwadabawa Government House Clinic,12.463,9.2775,Adamawa,,
Ovom Government House Clinic,6.2915,4.8955,Bayelsa,,
Abetse Community Health Centre,8.8662,7.3685,Benue,,
Adi Community Health Centre,9.2333,7.1821,Benue,,
Agasha Community Health Centre,8.899,7.7166,Benue,,
Chembe Community Health Centre,9.1337,7.3838,Benue,,
Gbajimba Community Health Centre,8.8619,7.8251,Benue,,
Igumale Community Health Centre,7.9672,6.8058,Benue,,
Mbaalom Community Health Centre,9.1138,7.4149,Benue,,
Mbaandar Community Health Centre,8.7842,7.3759,Benue,,
Mbagar Community Health Centre,9.0069,7.3861,Benue,,
Mbagen Ashibi Community Health Centre,9.1277,7.1493,Benue,,
Mbahyande Community Health Centre,8.9023,7.2837,Benue,,
Mbanoroki Community Health Centre,8.6935,7.259,Benue,,
Mbastwar Community Health Centre,9.0706,7.2644,Benue,,
Mbatser Dzua Community Health Centre,8.6119,7.7167,Benue,,
Mbayer Ankyunya Community Health Centre,9.3578,7.4171,Benue,,
Okpokwo Community Clinic,8.2167,7.0419,Benue,,
Ortese Community Health Centre,9.2588,7.4345,Benue,,
Tse-Akenyi Community Health Centre,8.9199,7.9699,Benue,,
Uikpam Community Health Centre,8.6496,8.0147,Benue,,
Ukazo Community Health Centre,9.1121,7.3784,Benue,,
Gabu Government Hospital,8.7486,6.8647,Cross River,,
Wonye Government Health Centre,8.8652,6.8094,Cross River,,
Abigborodu Government Hospital,5.5332,5.9,Delta,,
Agbarho Government Hospital,5.8521,5.5896,Delta,,
Ashaka Government Hospital,6.4046,5.634,Delta,,
Aviara Government Hospital,6.2662,5.3906,Delta,,
Ebu Government Hospital,6.6082,6.4822,Delta,,
Ehwere Government Hospital,5.8956,5.6076,Delta,,
Ewu Government Hospital,5.991,5.3754,Delta,,
Focados Government Hospital,5.4336,5.3586,Delta,,
Ibusa Government Hospital,6.6149,6.1725,Delta,,
Isheagu Government Hospital,6.5467,6.0388,Delta,,
Kiagbodo Government Hospital,5.836,5.2432,Delta,,
Ofagbe Government Hospital,6.3444,5.5563,Delta,,
Ojobo Government Hospital,5.6668,5.0317,Delta,,
Omadino Government Hospital,5.6507,5.6265,Delta,,
Orogun Government Hospital,6.153,5.6371,Delta,,
Otu-Jeremi Government Hospital,5.8774,5.4381,Delta,,
Owa-Alero Government Hospital,6.2167,6.2194,Delta,,
Ugbevwe-Jesse Government Hospital,5.813,5.8807,Delta,,
Umunede Government Hospital,6.3061,6.2512,Delta,,
Umutu Government Hospital,6.2256,5.9085,Delta,,
Uzere Government Hospital,6.2392,5.3329,Delta,,
Iruekpen Government Hospital,6.0472,6.7471,Edo,,
Aramoko Community Health Centre,5.0459,7.7159,Ekiti,,
Ecowas Ilupeju Mission Clinic,5.4046,7.5713,Ekiti,,
Erijiyan Community Health Centre,5.0064,7.6126,Ekiti,,
Ikere Mission Clinic (CAC),5.2276,7.5006,Ekiti,,
Ilawe Community Health Centre,5.1128,7.5832,Ekiti,,
K & S Mission Clinic Iyin Ekiti,5.1587,7.6505,Ekiti,,
Ogotun Community Health Centre,5.0081,7.5052,Ekiti,,
Oke Igbala Mission Clinic (CAC),5.1253,7.6702,Ekiti,,
Oke Irapada Mission Clinic (CAC),5.1668,7.6634,Ekiti,,
Oke-Ayo Mission Clinic (CAC),5.1274,7.6633,Ekiti,,
Oke-Ayo Mission Clinic (CAC),5.1271,7.6635,Ekiti,,
Oke-Emure Community Health Centre,5.454,7.431,Ekiti,,
Oke-Ibukun Mission Clinic (CAC),5.4572,7.4364,Ekiti,,
Oke-Igbala Mission Clinic (CAC),5.4552,7.4358,Ekiti,,
Oke-Isegun Mission Clinic (CAC),5.4604,7.4345,Ekiti,,
Oke-Itunu Mission Clinic (CAC),5.2276,7.6504,Ekiti,,
Okemesi Community Health Centre,4.9186,7.8357,Ekiti,,
Okesegun Mission Clinic (CAC),5.1543,7.6556,Ekiti,,
St Mary Cath Mission Clinic,5.0201,7.5029,Ekiti,,
Temiasese Mission Clinic (CAC),5.4634,7.436,Ekiti,,
Uacc Ajaye Church Mission Clinic,5.0924,7.6796,Ekiti,,
Enugu Government House Hospital,7.5223,6.4467,Enugu,,
Government House Clinic,11.1639,10.2812,Gombe,,
Umuowa Ibu Community Health Clinic,7.2715,5.9055,Imo,,
Umuowaibu I Community Health Clinic,7.2861,5.8954,Imo,,
Government House Clinic,8.5542,11.9764,Kano,,
Akanbi Government House Clinic,4.5796,8.4787,Kwara,,
Ijagbo Community Health Centre,4.7391,8.1798,Kwara,,
Iwo Community Health Centre,5.0381,8.3007,Kwara,,
Ogidi Community Health Centre,4.5,8.5167,Kwara,,
Shonga Community Health Clinic,5.151,9.0102,Kwara,,
